accession	geo_PC1	geo_PC2	geo_PC3
RS_GCF_000617845.2	-52.360911487621	-9.52694368221449	12.1144657324107
GB_GCA_000828835.1	-37.2894415049136	5.9912145678814	-25.3936516000414
RS_GCF_000964545.1	-40.3266211602246	-20.4286656966071	17.4370472694135
RS_GCF_001652915.1	-42.9413687162002	8.4271652839702	-22.7080405135676
RS_GCF_000876015.1	-48.2718744222612	3.29408153587486	-19.2053053653244
RS_GCF_001293525.1	-46.2759797647259	6.05520022678182	-20.7047170844987
RS_GCF_001748145.1	-45.3404495288563	6.19354116053332	-21.3543724306316
RS_GCF_001592285.1	24.4042907693837	-42.0660893700627	3.55576072295786
RS_GCF_001592305.1	33.9903984257754	-36.6915520729599	11.0713661902236
RS_GCF_002072155.1	-43.2600085868655	8.63443009128646	-22.4961214613391
RS_GCF_001895145.1	-46.1343671090402	6.84133784917462	-20.7420531585569
GB_GCA_002897935.1	-48.5155249495184	19.7513840042136	-12.6287330955482
GB_GCA_002897855.1	-48.5155249495184	19.7513840042136	-12.6287330955482
GB_GCA_002897995.1	-48.5155249495184	19.7513840042136	-12.6287330955482
GB_GCA_002897735.1	-48.5155249495184	19.7513840042136	-12.6287330955483
GB_GCA_002897615.1	-48.5155249495184	19.7513840042136	-12.6287330955483
GB_GCA_002898955.1	-43.6867880456189	8.49428704593991	-22.2505147167222
RS_GCF_009937955.1	-43.965165426388	7.81700769261294	-22.14890710868
RS_GCF_009937975.1	-43.9806732038967	7.92800986102206	-22.1285713112189
RS_GCF_003402535.1	-43.4779449755016	8.75286854360778	-22.3435219830716
RS_GCF_003574215.1	-44.3115426366469	8.20791110959757	-21.8777096247828
RS_GCF_003865015.1	-45.221330644938	6.15944452552094	-21.4349544814334
RS_GCF_003864975.1	-43.8322035789827	7.50333704700772	-22.2557814853517
RS_GCF_003967275.1	-37.1937455503527	5.86689848553185	-25.4208438745809
RS_GCF_003967195.1	-35.491229611055	7.92699915794199	-26.2306585968638
GB_GCA_003966565.1	-37.1937455503527	5.86689848553185	-25.4208438745809
RS_GCF_003966715.1	37.6532806754123	36.5590338800667	-28.4201459146828
RS_GCF_003851545.1	-46.083813525806	5.84181173028059	-20.855475724797
GB_GCA_004323595.1	-37.1937455503527	5.86689848553185	-25.4208438745809
GB_GCA_014190675.1	-45.3845143481971	6.14780824847439	-21.3265844236829
RS_GCF_007992095.1	-45.0821079020108	7.24985260709547	-21.4581441813505
RS_GCF_009937995.1	-35.9111556463214	6.48561058974533	-25.983279783571
RS_GCF_009811755.1	-48.6017084989894	4.80890333288769	-18.8996974975724
RS_GCF_011764485.1	-53.2463660000896	4.22034710119956	-13.2824736000682
RS_GCF_011764585.1	-43.8462573236456	7.48391510037772	-22.2483692436715
RS_GCF_016629565.1	-54.8943995749413	2.07344757016441	-10.1366864065174
RS_GCF_013282155.1	-46.6267902020186	-0.985347004161212	-19.4330235701499
RS_GCF_019973615.1	-42.950817035642	8.3954079169942	-22.7060594647094
GB_GCA_016861105.1	-47.2664234613425	4.33289570949855	-20.0244363445468
GB_GCA_016861185.1	-47.2664234613425	4.33289570949854	-20.0244363445468
RS_GCF_019972155.1	-46.8548065183757	3.96098048388037	-20.3216052530263
RS_GCF_019655435.1	-49.0507742617694	4.83502653609606	-18.4819134625214
RS_GCF_022179805.1	-44.4865607625568	7.80356798975617	-21.8084313437044
GB_GCA_021604645.1	-42.5487116644427	6.98652877882283	-23.0032171353969
GB_GCA_024347195.1	-38.3262512378177	6.13696229381268	-24.9731376716294
RS_GCF_022835695.1	-43.3818151059934	8.36461365744334	-22.4598301996732
RS_GCF_023734135.1	-43.5884826675824	8.31103314586551	-22.3373830077751
RS_GCF_900172255.1	-42.0785823582886	3.50719467065632	-22.9930537700809
RS_GCF_900172295.1	-48.6271737264063	0.342680239725413	-18.4620893227117
RS_GCF_900172345.1	-49.8572151467269	0.587586121227835	-17.3290606172073
RS_GCF_900172365.1	-49.1608725683646	-2.26249439993472	-16.6588167857974
RS_GCF_900172265.1	-49.9132839332265	0.728438778541874	-17.3095724155694
RS_GCF_900172225.1	31.6967403925797	-38.5149266048695	12.7218158107484
RS_GCF_900184815.1	-49.3295017533932	0.705930693232872	-17.9045800988249
